Date : 2024-06-01 22:35:30
Directory : /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend
Total : 82 files,  3033 codes, 45 comments, 464 blanks, all 3542 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         48 |      1,829 |         42 |        124 |      1,995 |
| YAML               |          1 |        912 |          0 |        292 |      1,204 |
| TypeScript         |          5 |        144 |          0 |         18 |        162 |
| XML                |         22 |         76 |          0 |         22 |         98 |
| JSON               |          1 |         27 |          0 |          1 |         28 |
| JSON with Comments |          1 |         26 |          0 |          1 |         27 |
| CSS                |          2 |         11 |          1 |          2 |         14 |
| JavaScript         |          2 |          8 |          2 |          4 |         14 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |         82 |      3,033 |         45 |        464 |      3,542 |
| app                                                                                                            |         82 |      3,033 |         45 |        464 |      3,542 |
| app (Files)                                                                                                    |          7 |      1,023 |          2 |        301 |      1,326 |
| app/app                                                                                                        |          7 |        339 |          3 |         30 |        372 |
| app/app (Files)                                                                                                |          3 |        114 |          0 |          9 |        123 |
| app/app/auth                                                                                                   |          1 |         83 |          0 |          4 |         87 |
| app/app/cart                                                                                                   |          1 |         20 |          0 |          4 |         24 |
| app/app/profile                                                                                                |          1 |         79 |          3 |          5 |         87 |
| app/app/test                                                                                                   |          1 |         43 |          0 |          8 |         51 |
| app/components                                                                                                 |         44 |      1,511 |         40 |         97 |      1,648 |
| app/components/cart                                                                                            |          4 |        181 |          0 |         13 |        194 |
| app/components/delivery                                                                                        |          3 |        129 |         29 |          7 |        165 |
| app/components/icons                                                                                           |         22 |        455 |          0 |         23 |        478 |
| app/components/layout                                                                                          |          5 |        297 |          1 |         20 |        318 |
| app/components/profile                                                                                         |          5 |        185 |          1 |         11 |        197 |
| app/components/profile/manager                                                                                 |          1 |          3 |          0 |          0 |          3 |
| app/components/profile/user                                                                                    |          4 |        182 |          1 |         11 |        194 |
| app/components/ui                                                                                              |          5 |        264 |          9 |         23 |        296 |
| app/public                                                                                                     |         22 |         76 |          0 |         22 |         98 |
| app/public/icons                                                                                               |         22 |         76 |          0 |         22 |         98 |
| app/store                                                                                                      |          2 |         84 |          0 |         14 |         98 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                       | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/app/auth/page.tsx                                 | TypeScript JSX     |         83 |          0 |          4 |         87 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/app/cart/page.tsx                                 | TypeScript JSX     |         20 |          0 |          4 |         24 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/app/globals.css                                   | CSS                |          3 |          0 |          1 |          4 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/app/layout.tsx                                    | TypeScript JSX     |         54 |          0 |          5 |         59 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/app/page.tsx                                      | TypeScript JSX     |         57 |          0 |          3 |         60 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/app/profile/page.tsx                              | TypeScript JSX     |         79 |          3 |          5 |         87 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/app/test/page.tsx                                 | TypeScript JSX     |         43 |          0 |          8 |         51 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/cart/cart-item-counter.tsx             | TypeScript JSX     |         28 |          0 |          4 |         32 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/cart/cart-item.tsx                     | TypeScript JSX     |         73 |          0 |          3 |         76 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/cart/cart-list.tsx                     | TypeScript JSX     |         34 |          0 |          3 |         37 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/cart/order.tsx                         | TypeScript JSX     |         46 |          0 |          3 |         49 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/delivery/delivery-item.tsx             | TypeScript JSX     |         77 |          0 |          2 |         79 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/delivery/delivery-panel.tsx            | TypeScript JSX     |         42 |         29 |          4 |         75 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/delivery/interfaces.ts                 | TypeScript         |         10 |          0 |          1 |         11 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/icons/admin-panel-icon.tsx             | TypeScript JSX     |         19 |          0 |          1 |         20 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/icons/bank-card-icon.tsx               | TypeScript JSX     |         19 |          0 |          1 |         20 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/icons/box-icon.tsx                     | TypeScript JSX     |         19 |          0 |          1 |         20 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/icons/calendar-icon.tsx                | TypeScript JSX     |         19 |          0 |          1 |         20 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/icons/cart-icon.tsx                    | TypeScript JSX     |         19 |          0 |          1 |         20 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/icons/cross-icon.tsx                   | TypeScript JSX     |         25 |          0 |          1 |         26 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/icons/down-arrow-icon.tsx              | TypeScript JSX     |         19 |          0 |          1 |         20 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/icons/email-icon.tsx                   | TypeScript JSX     |         23 |          0 |          1 |         24 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/icons/house-icon.tsx                   | TypeScript JSX     |         19 |          0 |          1 |         20 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/icons/left-arrow-icon.tsx              | TypeScript JSX     |         19 |          0 |          1 |         20 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/icons/manager-panel-icon.tsx           | TypeScript JSX     |         35 |          0 |          1 |         36 |
| /Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/icons/password-icon.tsx                | TypeScript JSX     |         19 |          0 |          1 |         20 |
